"","host_response_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","minimum_nights","maximum_nights","availability_365","number_of_reviews","first_review","last_review","review_scores_rating","calculated_host_listings_count","date_diff"
"58","100%","t",2,"f","Little Portugal",43.64589,-79.43464,"t","House","Entire home/apt",4,2,2,2,"Real Bed","$250.00","$400.00","$80.00",4,4,30,365,17,"2012-02-22","2015-08-08",94,2,1263
"59","100%","f",32,"f","Downtown Toronto",43.6674,-79.38083,"t","Bed and breakfast","Private room",3,2.5,1,2,"Real Bed","$87.00","$150.00","",1,2,55,363,13,"2011-10-01","2016-02-22",90,4,1605
"60","100%","f",2,"f","Downtown Toronto",43.66168,-79.37937,"t","House","Private room",2,1,1,1,"Real Bed","$90.00","$0.00","$60.00",1,7,162,289,20,"2016-01-27","2019-03-31",95,2,1159
"61","100%","f",4,"t","Downtown Toronto",43.66771,-79.37679,"t","Apartment","Entire home/apt",4,2,2,2,"Real Bed","$400.00","$800.00","$80.00",2,3,365,0,55,"2011-12-31","2018-09-11",98,2,2446
"62","33%","f",1,"t","Niagara",43.63479,-79.39957,"t","Townhouse","Entire home/apt",5,1,2,3,"Real Bed","$325.00","$350.00","$0.00",3,5,730,353,10,"2013-07-21","2017-08-26",93,1,1497
"63","100%","f",1,"f","Downtown Toronto",43.66993,-79.38742,"t","Apartment","Private room",2,2,2,1,"Real Bed","$119.00","$200.00","$40.00",1,3,365,364,37,"2011-10-10","2014-05-13",92,1,946
"64","50%","f",1,"f","Dovercourt Park",43.66823,-79.43594,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$99.00","$500.00","$35.00",1,2,14,165,0,"","",NA,1,NA
"65","100%","f",1,"t","Studio District",43.65766,-79.33866,"t","Guesthouse","Entire home/apt",3,1,1,2,"Real Bed","$140.00","$0.00","$35.00",3,1,30,106,65,"2018-07-07","2019-05-05",96,1,302
"66","100%","t",1,"t","The Annex",43.66763,-79.40683,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$90.00","$0.00","$75.00",2,28,365,211,20,"2013-06-09","2019-02-28",93,1,2090
"67","100%","f",3,"f","Fairbank",43.68203,-79.45852,"t","House","Entire home/apt",3,1,2,2,"Real Bed","$56.00","$200.00","$59.00",2,3,180,68,87,"2012-02-01","2019-04-07",90,3,2622
"68","100%","f",3,"f","Fairbank",43.68304,-79.45868,"t","House","Entire home/apt",4,1,1,3,"Real Bed","$48.00","$200.00","$69.00",2,4,60,132,46,"2012-08-28","2018-12-22",91,3,2307
"69","100%","f",3,"f","Fairbank",43.68219,-79.45995,"t","House","Private room",1,1,1,1,"Real Bed","$38.00","$200.00","$43.00",1,2,90,37,14,"2012-04-23","2019-01-02",100,3,2445
"70","75%","f",5,"f","Garden District",43.6549,-79.37104,"t","House","Private room",5,1,1,3,"Real Bed","$73.00","$200.00","",1,1,365,224,134,"2011-12-03","2019-05-04",86,5,2709
"71","75%","f",5,"f","Downtown Toronto",43.65627,-79.37116,"t","House","Private room",5,1,1,3,"Real Bed","$66.00","$269.00","",1,1,365,268,69,"2011-11-13","2018-08-26",88,5,2478
"72","100%","t",2,"t","Downtown Toronto",43.65096,-79.36759,"t","Condominium","Entire home/apt",2,1,0,1,"Real Bed","$102.00","$100.00","$50.00",1,30,1125,36,103,"2012-08-13","2019-04-27",93,2,2448
"73","75%","f",5,"f","Garden District",43.65551,-79.37133,"t","House","Private room",5,1,1,3,"Real Bed","$66.00","$200.00","",1,1,365,118,94,"2012-01-06","2019-03-03",85,5,2613
"74","N/A","f",1,"t","Niagara",43.64047,-79.41491,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$105.00","$400.00","",1,30,182,364,4,"2017-06-16","2019-04-30",100,1,683
"75","N/A","f",1,"f","Broadview North",43.6879,-79.35268,"t","Condominium","Private room",1,1,1,1,"Real Bed","$75.00","$150.00","$20.00",1,1,2,364,0,"","",NA,1,NA
"76","75%","f",5,"f","Downtown Toronto",43.65653,-79.37127,"t","House","Private room",2,1,1,1,"Real Bed","$55.00","$300.00","$0.00",1,1,365,106,103,"2011-11-26","2019-04-16",77,5,2698
"77","N/A","f",1,"f","South Hill/Rathnelly",43.68436,-79.40053,"t","Apartment","Entire home/apt",5,2,3,3,"Real Bed","$201.00","$403.00","",1,7,365,0,0,"","",NA,1,NA
"78","75%","f",5,"f","Downtown Toronto",43.64248,-79.37502,"t","Condominium","Entire home/apt",4,1,1,1,"Real Bed","$189.00","$500.00","$60.00",2,180,600,126,79,"2011-12-28","2017-09-04",98,3,2077
"79","100%","t",1,"f","Downtown Toronto",43.66071,-79.38259,"t","Apartment","Private room",2,1,1,1,"Pull-out Sofa","$64.00","$300.00","$50.00",1,3,365,3,22,"2012-01-09","2019-04-11",99,1,2649
"80","N/A","f",1,"t","Garden District",43.6605,-79.38057,"t","Apartment","Private room",1,1,1,1,"Real Bed","$179.00","$269.00","",1,2,365,0,0,"","",NA,1,NA
"81","100%","t",10,"f","Downtown Toronto",43.66023,-79.40935,"t","House","Entire home/apt",4,2,2,2,"Real Bed","$252.00","$1,000.00","$120.00",4,2,365,0,90,"2017-10-02","2019-04-26",95,9,571
"82","75%","f",5,"f","Downtown Toronto",43.65831,-79.36885,"t","House","Private room",2,1,1,1,"Real Bed","$75.00","$200.00","",1,2,365,50,135,"2011-12-19","2018-10-29",83,5,2506
"83","N/A","f",1,"t","Downtown Toronto",43.65481,-79.39697,"t","Apartment","Private room",1,1,1,1,"Real Bed","$136.00","$200.00","$75.00",1,3,6,0,16,"2012-01-16","2017-09-20",97,1,2074
"84","50%","f",2,"f","The Westway",43.69143,-79.54384,"t","House","Private room",2,1,1,2,"Real Bed","$53.00","","",1,1,2,87,2,"2017-05-03","2018-05-27",100,2,389
"85","0%","f",1,"f","Willowdale",43.77053,-79.41101,"t","House","Private room",2,1,1,1,"Real Bed","$60.00","$150.00","$80.00",1,2,30,365,2,"2016-08-01","2016-10-03",100,1,63
"86","80%","f",1,"t","Downtown Toronto",43.67093,-79.37298,"t","House","Entire home/apt",6,2,2,4,"Real Bed","$125.00","$500.00","$220.00",1,14,365,1,18,"2013-09-10","2019-04-28",90,1,2056
"87","100%","t",1,"f","Niagara",43.64294,-79.41038,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$201.00","$0.00","$125.00",2,10,365,43,86,"2012-03-08","2019-03-01",99,1,2549
"88","100%","t",6,"t","Downtown Toronto",43.65504,-79.40017,"t","Apartment","Private room",2,NA,1,1,"Real Bed","$200.00","$0.00","$100.00",1,1,4,365,2,"2013-09-21","2014-08-03",100,6,316
"89","100%","t",3,"f","Wallace Emerson",43.657,-79.44806,"t","Bed and breakfast","Private room",4,1,1,1,"Real Bed","$73.00","","",1,2,1125,365,10,"2012-09-17","2018-10-20",98,3,2224
"90","100%","t",2,"f","Downtown Toronto",43.64222,-79.37987,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$110.00","$0.00","$60.00",1,28,1124,48,51,"2012-01-26","2019-04-12",100,2,2633
"91","100%","t",2,"t","Davisville",43.70926,-79.37707,"t","Apartment","Shared room",2,1,1,2,"Futon","$50.00","","",1,1,365,273,90,"2012-03-17","2019-03-19",97,2,2558
"92","100%","t",3,"f","Dufferin Grove",43.65674,-79.44786,"t","House","Private room",4,1,1,1,"Real Bed","$90.00","","",1,2,365,365,22,"2012-05-23","2018-10-12",92,3,2333
"93","100%","t",1,"f","The Pocket",43.67728,-79.33585,"t","House","Private room",1,1,1,1,"Real Bed","$50.00","$0.00","$0.00",1,5,1124,171,31,"2012-07-05","2019-03-21",100,1,2450
"94","100%","t",3,"f","Dufferin Grove",43.657,-79.44784,"t","House","Private room",3,3,1,1,"Real Bed","$85.00","","",1,2,1125,365,23,"2012-08-27","2018-10-22",95,3,2247
"95","N/A","f",1,"f","High Park North",43.66205,-79.4561,"t","House","Entire home/apt",8,2,4,3,"Real Bed","$260.00","","",1,5,50,0,0,"","",NA,1,NA
"96","100%","t",1,"t","Riverdale",43.66712,-79.33678,"t","House","Entire home/apt",6,1,2,3,"Real Bed","$179.00","$450.00","$80.00",3,3,24,174,127,"2012-02-27","2019-04-05",95,1,2594
"97","89%","t",1,"t","Parkdale",43.64133,-79.42306,"t","Loft","Entire home/apt",2,1,0,1,"Real Bed","$99.00","$250.00","$30.00",2,2,7,10,181,"2012-04-23","2019-04-21",98,1,2554
"98","100%","t",4,"t","Downtown Toronto",43.65474,-79.3745,"t","Condominium","Entire home/apt",3,1,2,2,"Real Bed","$154.00","$200.00","$0.00",2,90,1125,116,59,"2012-04-01","2018-12-23",97,4,2457
"99","100%","t",4,"f","Downtown Toronto",43.64895,-79.388,"t","Condominium","Private room",2,1,1,1,"Real Bed","$89.00","$800.00","$60.00",1,3,360,310,92,"2012-07-11","2018-12-21",94,4,2354
"100","100%","f",2,"f","Palmerston/Little Italy",43.66195,-79.41141,"t","Apartment","Entire home/apt",1,1,1,1,"Real Bed","$95.00","$100.00","",1,7,1125,227,22,"2012-05-18","2019-03-31",91,2,2508
"101","100%","f",3,"f","Parkdale",43.6354,-79.43854,"t","House","Entire home/apt",5,1,2,3,"Real Bed","$150.00","$750.00","$125.00",4,30,1124,220,56,"2012-08-09","2019-05-01",95,3,2456
"102","N/A","f",1,"f","Willowdale",43.77873,-79.41245,"t","Apartment","Private room",1,1,1,1,"Real Bed","$140.00","","$250.00",1,7,365,365,0,"","",NA,1,NA
"103","75%","f",3,"f","The Beaches",43.67113,-79.29839,"t","House","Entire home/apt",6,1.5,2,2,"Real Bed","$299.00","$650.00","$130.00",5,1,1125,258,1,"2017-07-05","2017-07-05",80,3,0
"104","100%","f",3,"f","Lytton Park",43.71453,-79.40563,"t","Bed and breakfast","Private room",2,NA,1,NA,"Real Bed","$85.00","","",1,30,60,90,1,"2012-07-27","2012-07-27",100,3,0
"105","100%","f",1,"t","Fashion District",43.64341,-79.40046,"t","Loft","Entire home/apt",2,1,1,1,"Real Bed","$191.00","$1,500.00","$120.00",2,3,20,363,9,"2014-07-01","2017-09-12",98,1,1169
"106","100%","f",1,"f","Parkdale",43.64143,-79.43131,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$299.00","$1,000.00","$100.00",2,2,1125,168,10,"2012-07-14","2018-12-28",98,1,2358
"107","100%","f",2,"t","Rosedale",43.67423,-79.37028,"t","House","Entire home/apt",8,3.5,3,4,"Real Bed","$650.00","$500.00","$150.00",6,7,30,0,1,"2013-08-02","2013-08-02",100,2,0
"108","100%","f",1,"t","Danforth Village",43.6798,-79.34218,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$136.00","$2,000.00","$35.00",2,2,360,131,26,"2014-06-30","2018-09-09",93,1,1532
"109","100%","f",2,"f","Downtown Toronto",43.65432,-79.39847,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$111.00","$200.00","$73.00",1,1,99,71,201,"2012-04-03","2019-04-06",92,2,2559
"110","87%","f",75,"t","Downtown Toronto",43.64878,-79.38691,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$149.00","$500.00","",2,20,365,25,11,"2013-02-26","2019-01-31",85,75,2165
"111","N/A","f",1,"f","Downtown Toronto",43.67144,-79.37685,"t","House","Private room",2,1.5,1,1,"Real Bed","$64.00","","",1,7,14,0,0,"","",NA,1,NA
"112","100%","f",1,"f","Dovercourt Park",43.66633,-79.42851,"f","House","Private room",1,1,1,1,"Real Bed","$60.00","$250.00","",1,3,1125,309,18,"2012-09-11","2017-06-05",73,1,1728
"113","100%","t",7,"f","Downtown Toronto",43.65765,-79.36281,"t","Townhouse","Private room",3,1,1,1,"Real Bed","$64.00","$0.00","$0.00",2,1,1125,205,701,"2012-03-27","2019-05-04",96,1,2594
"114","100%","f",1,"t","Roncesvalles",43.64283,-79.44686,"t","House","Entire home/apt",6,2,3,3,"Real Bed","$350.00","$250.00","$120.00",4,3,7,0,10,"2019-02-10","2019-02-15",93,1,5
"115","100%","t",5,"f","Palmerston/Little Italy",43.66238,-79.41034,"t","Apartment","Entire home/apt",1,1,1,1,"Real Bed","$90.00","$200.00","",1,20,1125,339,6,"2012-06-16","2016-11-16",96,5,1614
"116","100%","t",5,"f","Downtown Toronto",43.6607,-79.40954,"t","Apartment","Private room",1,1,1,1,"Real Bed","$79.00","$200.00","",1,28,1125,0,4,"2012-12-13","2018-11-25",100,5,2173
"117","100%","f",16,"t","Rosedale",43.67149,-79.38611,"t","Apartment","Private room",2,1,1,1,"Real Bed","$81.00","","$60.00",1,1,1125,353,3,"2013-08-21","2018-08-31",100,12,1836
"118","100%","f",14,"f","Flemingdon Park",43.72029,-79.33473,"t","House","Private room",1,1,1,1,"Real Bed","$40.00","$125.00","$25.00",1,3,180,1,26,"2013-08-01","2019-03-18",86,3,2055
"119","100%","t",2,"f","Downtown Toronto",43.6642,-79.38465,"t","Loft","Entire home/apt",2,1,1,1,"Real Bed","$209.00","$300.00","",2,1,14,231,67,"2012-06-25","2019-05-04",92,2,2504
"120","100%","f",5,"t","Willowdale",43.76248,-79.40904,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$180.00","$0.00","$75.00",1,3,1125,88,0,"","",NA,3,NA
"121","100%","f",5,"t","Willowdale",43.76095,-79.40969,"t","Apartment","Entire home/apt",4,2,2,2,"Real Bed","$250.00","","$65.00",4,3,1125,89,0,"","",NA,3,NA
"122","100%","f",5,"t","Entertainment District",43.64456,-79.39449,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$175.00","","$75.00",2,3,1125,358,2,"2017-06-08","2017-07-11",100,3,33
"123","100%","f",1,"f","The Annex",43.66859,-79.41411,"t","Apartment","Entire home/apt",1,1,1,2,"Futon","$99.00","","$60.00",2,3,1125,364,27,"2012-04-15","2018-09-25",91,1,2354
"124","N/A","f",1,"t","Dufferin Grove",43.65395,-79.43132,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$64.00","$200.00","$60.00",2,7,1125,0,3,"2013-04-24","2013-07-08",99,1,75
"125","100%","f",11,"t","The Danforth",43.68499,-79.29131,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$68.00","$0.00","$45.00",2,2,1125,280,34,"2012-06-18","2019-04-22",90,11,2499
"126","100%","f",4,"f","Downtown Toronto",43.6617,-79.37496,"t","Apartment","Entire home/apt",5,1.5,3,3,"Real Bed","$195.00","$750.00","$135.00",3,2,365,320,198,"2013-03-09","2019-04-28",93,3,2241
"127","N/A","f",1,"t","Downtown Toronto",43.65646,-79.4031,"t","House","Private room",2,1,1,1,"Real Bed","$200.00","$500.00","",1,2,10,0,1,"2014-03-31","2014-03-31",20,1,0
"128","95%","t",6,"f","Parkdale",43.63927,-79.43033,"t","House","Entire home/apt",9,2,5,5,"Real Bed","$248.00","$1,000.00","$149.00",2,1,1000,271,198,"2014-08-11","2019-05-05",97,5,1728
"129","100%","f",3,"f","Woodbine Corridor",43.67711,-79.31048,"t","Apartment","Entire home/apt",1,1,1,1,"Real Bed","$68.00","$250.00","$100.00",2,30,1125,255,1,"2012-08-01","2012-08-01",100,2,0
"130","100%","t",6,"t","Downtown Toronto",43.66088,-79.38043,"t","Apartment","Private room",2,1,1,1,"Real Bed","$90.00","","",1,2,1125,160,275,"2012-05-21","2019-04-25",99,3,2530
